year,month,day,obs_time,SO2,NO2,PM10,PM25,CO2,O3
2010,6,29,16,99999,10,99999,99999,99999,99999
2010,6,29,17,99999,10,99999,99999,99999,99999
2010,6,29,18,99999,11,99999,99999,99999,99999
2010,6,29,19,99999,12,99999,99999,99999,99999
2010,6,29,20,99999,10,99999,99999,99999,99999
2010,6,29,21,99999,13,99999,99999,99999,99999
2010,6,29,22,99999,17,99999,99999,99999,99999
2010,6,29,23,99999,19,99999,99999,99999,99999
2010,6,30,0,99999,15,99999,99999,99999,99999
2010,6,30,1,99999,14,99999,99999,99999,99999
2010,6,30,2,99999,18,99999,99999,99999,99999
2010,6,30,3,99999,15,99999,99999,99999,99999
2010,6,30,4,99999,12,99999,99999,99999,99999
2010,6,30,5,99999,19,99999,99999,99999,99999
2010,6,30,6,99999,14,99999,99999,99999,99999
2010,6,30,7,99999,13,99999,99999,99999,99999
2010,6,30,8,99999,10,99999,99999,99999,99999
2010,6,30,9,99999,13,99999,99999,99999,99999
2010,6,30,10,99999,9,99999,99999,99999,99999
2010,6,30,11,99999,9,99999,99999,99999,99999
2010,6,30,12,99999,10,99999,99999,99999,99999
2010,6,30,13,99999,10,99999,99999,99999,99999
2010,6,30,14,99999,10,99999,99999,99999,99999
2010,6,30,15,99999,11,99999,99999,99999,99999
2010,6,30,16,99999,10,99999,99999,99999,99999
2010,6,30,17,99999,11,99999,99999,99999,99999
2010,6,30,18,99999,13,99999,99999,99999,99999
2010,6,30,19,99999,15,99999,99999,99999,99999
2010,6,30,20,99999,19,99999,99999,99999,99999
2010,6,30,21,99999,26,99999,99999,99999,99999
2010,6,30,22,99999,21,99999,99999,99999,99999
2010,6,30,23,99999,31,99999,99999,99999,99999
2010,7,1,0,99999,30,99999,99999,99999,99999
2010,7,1,1,99999,30,99999,99999,99999,99999
2010,7,1,2,99999,27,99999,99999,99999,99999
2010,7,1,3,99999,32,99999,99999,99999,99999
2010,7,1,4,99999,25,99999,99999,99999,99999
2010,7,1,5,99999,13,99999,99999,99999,99999
2010,7,1,6,99999,13,99999,99999,99999,99999
2010,7,1,7,99999,12,99999,99999,99999,99999
2010,7,1,8,99999,14,99999,99999,99999,99999
2010,7,1,9,99999,12,99999,99999,99999,99999
2010,7,1,10,99999,14,99999,99999,99999,99999
2010,7,1,11,99999,10,99999,99999,99999,99999
2010,7,1,12,99999,10,99999,99999,99999,99999
2010,7,1,13,99999,11,99999,99999,99999,99999
2010,7,1,14,99999,11,99999,99999,99999,99999
2010,7,1,15,99999,13,99999,99999,99999,99999
2010,7,1,16,99999,12,99999,99999,99999,99999
2010,7,1,17,99999,12,99999,99999,99999,99999
2010,7,1,18,99999,12,99999,99999,99999,99999
2010,7,1,19,99999,17,99999,99999,99999,99999
2010,7,1,20,99999,21,99999,99999,99999,99999
2010,7,1,21,99999,18,99999,99999,99999,99999
2010,7,1,22,99999,20,99999,99999,99999,99999
2010,7,1,23,99999,25,99999,99999,99999,99999
2010,7,2,0,99999,24,99999,99999,99999,99999
2010,7,2,1,99999,22,99999,99999,99999,99999
2010,7,2,2,99999,18,99999,99999,99999,99999
2010,7,2,3,99999,13,99999,99999,99999,99999
2010,7,2,4,99999,10,99999,99999,99999,99999
2010,7,2,5,99999,11,99999,99999,99999,99999
2010,7,2,6,99999,14,99999,99999,99999,99999
2010,7,2,7,99999,29,99999,99999,99999,99999
2010,7,2,8,99999,18,99999,99999,99999,99999
2010,7,2,9,99999,17,99999,99999,99999,99999
2010,7,2,10,99999,16,99999,99999,99999,99999
